"periode","demande brute","demande nette"
1408,47727.000,47727.000
1409,46484.000,46484.000
1410,47025.500,47025.500
1411,51796.500,51796.500
1412,59332.000,59332.000
1413,58914.000,58914.000
1414,56442.500,56442.500
1415,55005.500,55005.500
1416,57266.500,57266.500
1417,56808.500,56808.500
1418,54672.500,54672.500
1419,54572.500,54572.500
1420,52775.500,52775.500
1421,51886.500,51886.500
1422,53955.500,53955.500
1423,59008.500,59008.500
1424,65082.500,65082.500
1425,68191.000,68191.000
1426,68285.500,68285.500
1427,66105.000,66105.000
1428,63858.000,63858.000
1429,63355.000,63355.000
1430,61780.500,61780.500
1431,58717.000,58717.000
1432,56080.500,56080.500
1433,54529.500,54529.500
1434,54333.500,54333.500
1435,57603.500,57603.500
1436,64709.000,64709.000
1437,62701.000,62701.000
1438,58776.500,58776.500
1439,56995.000,56995.000
1440,59220.500,59220.500
1441,58194.500,58194.500
1442,55593.000,55593.000
1443,55299.500,55299.500
1444,53405.000,53405.000
1445,52410.000,52410.000
1446,54040.500,54040.500
1447,58918.500,58918.500
1448,64693.500,64693.500
1449,67533.500,67533.500
1450,67670.000,67670.000
1451,65844.000,65844.000
1452,64068.500,64068.500
1453,63766.000,63766.000
1454,62442.000,62442.000
1455,59769.000,59769.000
1456,57229.000,57229.000
1457,55750.500,55750.500
1458,55501.500,55501.500
1459,58318.500,58318.500
1460,64533.500,64533.500
1461,62097.500,62097.500
1462,58239.500,58239.500
1463,56339.000,56339.000
1464,58274.500,58274.500
1465,57315.000,57315.000
1466,54395.000,54395.000
1467,53810.500,53810.500
1468,51723.000,51723.000
1469,50543.500,50543.500
1470,51892.000,51892.000
1471,56236.000,56236.000
1472,61687.000,61687.000
1473,64847.000,64847.000
1474,66249.000,66249.000
1475,65570.500,65570.500
1476,64571.000,64571.000
1477,64599.500,64599.500
1478,63197.000,63197.000
1479,60505.000,60505.000
1480,57980.500,57980.500
1481,56416.000,56416.000
1482,55863.500,55863.500
1483,58307.500,58307.500
1484,64093.000,64093.000
1485,61936.500,61936.500
