Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
13/01/2021;17;746.0230138;988.0349979;1013.326604;468.2750131;551.4939867
13/01/2021;18;854.5527716;1105.150479;1148.878374;538.09179;603.7105389
13/01/2021;19;907.6855328;1150.981844;1226.756917;569.1964826;623.1885718
13/01/2021;20;852.13761;1074.415021;1167.374373;539.4792469;597.8810101
13/01/2021;21;759.5786241;1045.933518;1131.406166;495.085818;544.6465842
13/01/2021;22;668.9985535;1119.110969;1208.651571;1187.007777;481.963873
13/01/2021;23;578.1263764;1237.911479;1338.368371;999.8401856;438.9338132
14/01/2021;0;533.5082192;1187.345005;1229.158707;775.0665413;425.2050144
14/01/2021;1;506.7085618;1138.266903;1203.488961;623.7356306;460.9761923
14/01/2021;2;496.7145744;1085.010023;1159.287195;540.3703544;473.0182605
14/01/2021;3;499.789031;949.1368564;989.4611172;503.7174679;461.2752526
14/01/2021;4;508.7660115;879.0444406;896.2009386;491.8663481;446.4437819
14/01/2021;5;529.8770478;882.8868583;930.5411325;507.8632634;454.6124705
14/01/2021;6;600.4050008;963.325376;1030.951204;546.0408139;497.3944763
14/01/2021;7;694.4267677;982.4313115;1115.314791;619.2008203;542.9171579
14/01/2021;8;730.4837409;928.963208;1079.776545;636.2772822;585.7053295
14/01/2021;9;733.7787656;906.7599835;1050.249629;628.0626731;597.5770403
14/01/2021;10;717.8497036;893.682721;1034.162937;608.8225725;578.661346
14/01/2021;11;730.3584154;910.0002963;1031.111408;615.3783754;580.2604717
14/01/2021;12;745.6871553;1037.522303;1170.011484;621.8484314;572.2982284
14/01/2021;13;697.449179;1020.281374;1171.419845;578.4476627;537.073216
14/01/2021;14;659.6027173;939.820932;1096.436376;547.9439221;502.3583305
14/01/2021;15;641.1816214;906.0003588;1011.64041;540.2460027;485.0612336
14/01/2021;16;650.3654859;888.2463983;989.1272436;561.6706329;492.094175
14/01/2021;17;715.1559731;944.5763809;1057.97231;629.2843688;530.2923845
14/01/2021;18;816.9397651;1056.002666;1175.086329;711.0087223;580.3281151
14/01/2021;19;882.8462951;1118.084847;1226.344556;757.0690923;609.3064341
14/01/2021;20;833.3900904;1052.18463;1170.641849;711.9549552;593.1066608
14/01/2021;21;749.249071;1024.477172;1130.568619;652.0011092;534.190233
14/01/2021;22;662.5204929;1096.334468;1213.175201;1372.19455;477.676969
14/01/2021;23;587.1395591;1233.051325;1338.215514;1156.31595;440.7205722
15/01/2021;0;539.5847663;1181.586511;1185.634552;903.0731256;429.3543099
15/01/2021;1;519.5525755;1137.653344;1159.775697;730.0765679;466.9434937
15/01/2021;2;513.4952027;1097.122938;1108.728811;634.8131666;479.0978588
15/01/2021;3;514.4217624;970.7892103;943.3758523;598.059331;465.4254038
15/01/2021;4;528.2793098;916.181914;861.9849418;588.5610353;455.2206698
15/01/2021;5;554.4429941;930.6239015;894.8957174;602.4216728;463.1384661
15/01/2021;6;627.6460867;1013.913507;1003.182629;476.1000585;513.1406908
15/01/2021;7;726.6424574;1050.98011;1095.039934;508.1430024;559.1017121
15/01/2021;8;770.1105357;1013.806517;1064.989298;501.6212997;608.6815293
15/01/2021;9;780.6679417;998.1044526;1056.463115;482.7144325;622.962823
15/01/2021;10;777.6886888;985.79716;1065.48227;464.9810879;617.1128577
15/01/2021;11;784.0755874;997.291602;1084.174227;469.7766548;612.2648917
15/01/2021;12;792.604944;1118.289762;1215.280301;483.0128954;604.5072324
15/01/2021;13;746.886503;1105.674629;1237.573279;450.6302193;571.0440449
15/01/2021;14;714.742567;1023.575992;1162.371863;427.7076269;545.1422615
15/01/2021;15;700.708464;1005.631451;1105.558506;425.3100917;531.0897818
15/01/2021;16;720.974429;999.5979727;1098.583053;442.8115376;540.050893
